2019-11-28,09:32:33,0,Rebo,1574929953486,Hey!,TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2019-11-28,09:46:47,0,Rebo,1574930807509,Hey!,TUTOR
2019-11-28,09:46:53,0,Pat,1574930813653,hi,GREETING
2019-11-28,09:46:53,0,Rebo,1574930815540,Wie gut erfüllt dein Ergebnis die gestellte Aufgabe?,TUTOR
2019-11-28,09:47:12,0,Pat,1574930832956,mein ergebniss ist sehr gut geworden und erfüllt die aufgabe daher sehr gut,POSITIVE
2019-11-28,09:47:14,0,Rebo,1574930835553,Was hat dir dabei am besten gefallen?,TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2019-11-28,09:53:13,0,Rebo,1574931194333,Hey!,TUTOR
2019-11-28,09:53:16,0,Pat,1574931196816,hi,GREETING
2019-11-28,09:53:16,0,Rebo,1574931198357,"Wie ist das Lernen zur heutigen Übung gelaufen, hast du schon alles gut verstanden?",TUTOR
2019-11-28,09:53:19,0,Pat,1574931199913,asd,
2019-11-28,09:53:21,0,Rebo,1574931202364,Wie gut erfüllt dein Ergebnis die gestellte Aufgabe?,TUTOR
2019-11-28,09:53:23,0,Pat,1574931203262,asd,
2019-11-28,09:53:27,0,Rebo,1574931208372,Was hat dich an der Aufgabe interessiert?,TUTOR
2019-11-28,09:53:29,0,Pat,1574931209620,asd,
2019-11-28,09:53:32,0,Rebo,1574931212377,Hat dich die Arbeit an der Aufgabe gefesselt?,TUTOR
2019-11-28,09:53:33,0,Pat,1574931213957,asd,
2019-11-28,09:53:37,0,Rebo,1574931218382,Was konntest du von dieser Aufgabe mitnehmen?,TUTOR
2019-11-28,09:53:39,0,Pat,1574931219502,asd,
2019-11-28,09:53:42,0,Rebo,1574931224387,Was würdest du beim nächsten Mal nicht mehr machen?,TUTOR
2019-11-28,09:53:45,0,Pat,1574931225852,asd,
2019-11-28,09:53:47,0,Rebo,1574931228393,"Wenn du die gleiche Aufgabe morgen nochmals machen würdest, was wäre dann anders als heute?",TUTOR
2019-11-28,09:53:50,0,Pat,1574931230382,asd,
2019-11-28,09:53:52,0,Rebo,1574931234398,Vielen Dank für deine Antworten!,TUTOR
2019-11-28,09:54:47,0,Pat,1574931287950,ka problem,NEGATIVE
2019-11-28,09:54:49,0,Rebo,1574931290430,Schönen Tag noch :),TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2019-11-28,10:01:43,0,Rebo,1574931704149,Hey!,TUTOR
2019-11-28,10:01:48,0,Pat,1574931708899,hi,GREETING
2019-11-28,10:01:48,0,Rebo,1574931710272,Was gefällt dir an deinem Ergebnis und was nicht?,TUTOR
2019-11-28,10:01:51,0,Pat,1574931711290,asd,
2019-11-28,10:01:53,0,Pat,1574931713379,asd,
2019-11-28,10:01:54,0,Rebo,1574931716372,Was gefällt dir an deinem Ergebnis und was nicht?,TUTOR
2019-11-28,10:01:59,0,Pat,1574931719379,asd,
